time,lat,lon,alt
2024-01-01 13:52:00,-90.0,-93.27664522372031,-6351743.8828321425
2024-01-01 13:53:00,-90.0,-87.21337907583737,-6351665.252892531
2024-01-01 13:54:00,-90.0,-80.91654230976711,-6351611.999177478
2024-01-01 13:55:00,-90.0,-74.4657242082351,-6351584.384929082
2024-01-01 13:56:00,-90.0,-67.9565498884039,-6351582.5467618685
2024-01-01 13:57:00,-90.0,-61.49107401071976,-6351606.494039974
2024-01-01 13:58:00,-90.0,-55.166516963960866,-6351656.108829172
2024-01-01 13:59:00,-90.0,-49.065253896941485,-6351731.1464239
2024-01-01 14:00:00,-90.0,-43.24839575738488,-6351831.236449011
2024-01-01 14:01:00,-90.0,-37.75379748677304,-6351955.884535346
2024-01-01 14:02:00,-90.0,-32.59781977719589,-6352104.474567698
2024-01-01 14:03:00,-90.0,-27.77935926599598,-6352276.271502394
2024-01-01 14:04:00,-90.0,-23.284640026781354,-6352470.424750739
2024-01-01 14:05:00,-90.0,-19.09169963456526,-6352685.972122538
2024-01-01 14:06:00,-90.0,-15.174032082337298,-6352921.844321751
2024-01-01 14:07:00,-90.0,-11.50325342787958,-6353176.869983943
2024-01-01 14:08:00,-90.0,-8.050884406259785,-6353449.781241823
2024-01-01 14:09:00,-90.0,-4.789434046962515,-6353739.21980173
2024-01-01 14:10:00,-90.0,-1.6929761401098693,-6354043.743510369
2024-01-01 14:11:00,-90.0,1.2626188204568947,-6354361.8333867155
2024-01-01 14:12:00,-90.0,4.099672864579534,-6354691.901089962
2024-01-01 14:13:00,-90.0,6.83882399946625,-6355032.296789881
2024-01-01 14:14:00,-90.0,9.499225992099538,-6355381.3174017705
2024-01-01 14:15:00,-90.0,12.098787892328284,-6355737.215144068
2024-01-01 14:16:00,-90.0,14.654431511403047,-6356098.2063728515
2024-01-01 14:17:00,-90.0,17.18235494545468,-6356462.480643893
2024-01-01 14:18:00,90.0,19.69829658167314,-6356676.418540449
2024-01-01 14:19:00,90.0,22.217797919341354,-6356311.070411613
2024-01-01 14:20:00,90.0,24.756465698423845,-6355947.938454567
2024-01-01 14:21:00,90.0,27.330234707416388,-6355588.847016996
2024-01-01 14:22:00,90.0,29.955632408354482,-6355235.60042089
2024-01-01 14:23:00,90.0,32.65004511721906,-6354889.973691701
2024-01-01 14:24:00,90.0,35.43198261822502,-6354553.703451217
2024-01-01 14:25:00,90.0,38.32133318378209,-6354228.47902872
2024-01-01 14:26:00,90.0,41.339593138142405,-6353915.93384153
2024-01-01 14:27:00,90.0,44.51004305663828,-6353617.637093761
2024-01-01 14:28:00,90.0,47.85782488556335,-6353335.0858383905
2024-01-01 14:29:00,90.0,51.40984910206596,-6353069.697443484
2024-01-01 14:30:00,90.0,55.19442767428784,-6352822.802500174
2024-01-01 14:31:00,90.0,59.24048881888019,-6352595.638204573
2024-01-01 14:32:00,90.0,63.576191030722775,-6352389.342242744
2024-01-01 14:33:00,90.0,68.22673550832988,-6352204.947203167
2024-01-01 14:34:00,90.0,73.21121380181202,-6352043.375536924
2024-01-01 14:35:00,90.0,78.53847515088117,-6351905.435083098
2024-01-01 14:36:00,90.0,84.20231159938926,-6351791.8151726145
2024-01-01 14:37:00,90.0,90.17674766873286,-6351703.08332144
2024-01-01 14:38:00,90.0,96.41276575773163,-6351639.682521435
2024-01-01 14:39:00,90.0,102.83809106990445,-6351601.929134739
2024-01-01 14:40:00,90.0,109.36129267694068,-6351590.01139614
2024-01-01 14:41:00,90.0,115.88023997962357,-6351603.988526104
2024-01-01 14:42:00,90.0,122.29327821721971,-6351643.790455991
2024-01-01 14:43:00,90.0,128.51027887752892,-6351709.218165833
2024-01-01 14:44:00,90.0,134.46077875891,-6351799.944633904
2024-01-01 14:45:00,90.0,140.09770497313207,-6351915.516396174
2024-01-01 14:46:00,90.0,145.3968517589374,-6352055.355712575
2024-01-01 14:47:00,90.0,150.3534281575661,-6352218.763335295
2024-01-01 14:48:00,90.0,154.97729593631246,-6352404.92187265
2024-01-01 14:49:00,90.0,159.28818849697657,-6352612.899739993
2024-01-01 14:50:00,90.0,163.31165268860425,-6352841.65568644
2024-01-01 14:51:00,90.0,167.07597890019977,-6353090.043883169
2024-01-01 14:52:00,90.0,170.61008624572452,-6353356.81955645
2024-01-01 14:53:00,90.0,173.94219325651466,-6353640.645143895
2024-01-01 14:54:00,90.0,177.09907322034172,-6353940.096949343
2024-01-01 14:55:00,90.0,-179.89428560843953,-6354253.672267336
2024-01-01 14:56:00,90.0,-177.0147555691411,-6354579.796944428
2024-01-01 14:57:00,90.0,-174.2409821452617,-6354916.833339383
2024-01-01 14:58:00,90.0,-171.5532020183313,-6355263.088641597
2024-01-01 14:59:00,90.0,-168.93301063068853,-6355616.823502136
2024-01-01 15:00:00,90.0,-166.36310598106692,-6355976.260929327
2024-01-01 15:01:00,90.0,-163.8270237454397,-6356339.595396599
2024-01-01 15:02:00,90.0,-161.3088712454691,-6356705.002109348
2024-01-01 15:03:00,-90.0,-158.79306308890295,-6356433.982115647
2024-01-01 15:04:00,-90.0,-156.26405858057214,-6356069.935473513
2024-01-01 15:05:00,-90.0,-153.70609969522414,-6355709.312708983
2024-01-01 15:06:00,-90.0,-151.102948269151,-6355353.921819264
2024-01-01 15:07:00,-90.0,-148.43762202252216,-6355005.543332835
2024-01-01 15:08:00,-90.0,-145.6921313077018,-6354665.921276518
2024-01-01 15:09:00,-90.0,-142.84722251977962,-6354336.754372581
2024-01-01 15:10:00,-90.0,-139.88214068101078,-6354019.687514916
2024-01-01 15:11:00,-90.0,-136.7744338998319,-6353716.303569607
2024-01-01 15:12:00,-90.0,-133.4998376391664,-6353428.115541282
2024-01-01 15:13:00,-90.0,-130.03229858525006,-6353156.55914274
2024-01-01 15:14:00,-90.0,-126.34422754539683,-6352902.985800704
2024-01-01 15:15:00,-90.0,-122.40710766866995,-6352668.656127015
2024-01-01 15:16:00,-90.0,-118.19262338886399,-6352454.733879695
2024-01-01 15:17:00,-90.0,-113.67450309223759,-6352262.280434182
2024-01-01 15:18:00,-90.0,-108.83125638712156,-6352092.24978224
2024-01-01 15:19:00,-90.0,-103.64988866966054,-6351945.484071461
2024-01-01 15:20:00,-90.0,-98.13043494433586,-6351822.709696146
2024-01-01 15:21:00,-90.0,-92.29073850758523,-6351724.5339472005
2024-01-01 15:22:00,-90.0,-86.17036790144181,-6351651.442227029
2024-01-01 15:23:00,-90.0,-79.83214538120295,-6351603.795833278
2024-01-01 15:24:00,-90.0,-73.35983255868729,-6351581.830314269
2024-01-01 15:25:00,-90.0,-66.85139319255033,-6351585.654397825
2024-01-01 15:26:00,-90.0,-60.408792598406926,-6351615.249494554
2024-01-01 15:27:00,-90.0,-54.12675774907686,-6351670.4697761
2024-01-01 15:28:00,-90.0,-48.08339724599431,-6351751.042828435
2024-01-01 15:29:00,-90.0,-42.33474111685732,-6351856.57087974
2024-01-01 15:30:00,-90.0,-36.913672214920986,-6351986.532602028
2024-01-01 15:31:00,-90.0,-31.83232487160301,-6352140.285484572
2024-01-01 15:32:00,-90.0,-27.086400617446696,-6352317.068776375
2024-01-01 15:33:00,-90.0,-22.659965251582705,-6352516.006993408
2024-01-01 15:34:00,-90.0,-18.529779432259605,-6352736.113984515
2024-01-01 15:35:00,-90.0,-14.668728200450797,-6352976.2975473795
2024-01-01 15:36:00,-90.0,-11.048279958158833,-6353235.364583588
2024-01-01 15:37:00,-90.0,-7.640098754583409,-6353512.026778434
2024-01-01 15:38:00,-90.0,-4.41700083884163,-6353804.90678741
2024-01-01 15:39:00,-90.0,-1.3534428913774272,-6354112.544907924
2024-01-01 15:40:00,-90.0,1.5743038116120083,-6354433.406210199
